eventID,datetime,year,month,day,hour,minute,second,latitude,longitude,depth,magnitude,location,magnitudeType,event_type
61248991,2020-03-03 14:55:34+00:00,2020,03,03,14,55,34,7.74,121.91,31,4.9,024 km N 80° W of Siocon (Zamboanga Del Norte),Mw,TECTONIC
61260601,2021-06-03 04:20:16+00:00,2021,06,03,04,20,16,2.3,127.79,52,4.9,433 km S 37° E of Sarangani (Davao Occidental),Ms,TECTONIC
61266629,2022-04-03 00:52:46+00:00,2022,04,03,00,52,46,5.03,126.83,110,4.9,164 km S 53° E of Jose Abad Santos (Davao Occidental),Mw,TECTONIC
61282014,2023-02-03 21:03:44+00:00,2023,02,03,21,03,44,4.65,127.35,149,4.9,228 km S 66° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
61211413,2016-04-03 19:09:26+00:00,2016,04,03,19,09,26,15.31,122.63,16,4.8,072 km N 23° E of Jomalig (Quezon),Ms,TECTONIC
61228082,2019-08-03 21:10:54+00:00,2019,08,03,21,10,54,12.79,124.95,15,4.8,025 km N 05° E of Pambujan (Northern Samar),Ms,TECTONIC
61236250,2019-11-03 14:42:12+00:00,2019,11,03,14,42,12,5.44,127.57,33,4.8,213 km S 51° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61252268,2020-10-03 05:03:43+00:00,2020,10,03,05,03,43,13.6,120.66,117,4.8,019 km N 23° W of Abra De Ilog (Occidental Mindoro),Ms,TECTONIC
61252270,2020-10-03 03:25:08+00:00,2020,10,03,03,25,08,5.98,126.35,138,4.8,081 km S 22° E of Governor Generoso (Davao Oriental),Mw,TECTONIC
61283038,2023-01-03 11:43:06+00:00,2023,01,03,11,43,06,10.36,126.17,25,4.8,039 km N 15° E of Burgos (Surigao Del Norte),Ms,TECTONIC
61284075,2023-07-03 10:20:24+00:00,2023,07,03,10,20,24,5.78,124.47,20,4.8,028 km S 36° W of Kiamba (Sarangani),Mw,TECTONIC
61212262,2016-02-03 16:05:09+00:00,2016,02,03,16,05,09,6.24,125.5,60,4.7,021 km N 79° W of Don Marcelino (Davao Occidental),Ms,TECTONIC
61234769,2019-05-03 04:57:04+00:00,2019,05,03,04,57,04,5.15,125.97,75,4.7,064 km S 60° E of Sarangani (Davao Occidental),Ms,TECTONIC
61236299,2019-11-03 03:54:02+00:00,2019,11,03,03,54,02,19.09,121.2,15,4.7,035 km S 52° W of Calayan (Cagayan),Ms,TECTONIC
61251183,2020-11-03 17:59:07+00:00,2020,11,03,17,59,07,20.88,121.99,101,4.7,025 km N 78° E of Itbayat (Batanes),Ms,TECTONIC
61266588,2022-04-03 18:36:09+00:00,2022,04,03,18,36,09,9.19,126.78,9,4.7,060 km N 66° E of Bayabas (Surigao Del Sur),Mw,TECTONIC
61272594,2022-07-03 13:42:58+00:00,2022,07,03,13,42,58,13.75,119.65,29,4.7,052 km S 77° W of Lubang (Occidental Mindoro),Mw,TECTONIC
61218389,2017-03-03 04:01:00+00:00,2017,03,03,04,01,00,5.73,127.09,124,4.6,152 km S 48° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61240596,2020-04-03 04:27:14+00:00,2020,04,03,04,27,14,10.65,126.11,5,4.6,059 km S 45° E of Guiuan (Eastern Samar),Ms,TECTONIC
61252225,2020-10-03 22:19:27+00:00,2020,10,03,22,19,27,9.26,126.67,14,4.6,053 km N 53° E of Bayabas (Surigao Del Sur),Ms,TECTONIC
61252249,2020-10-03 14:15:52+00:00,2020,10,03,14,15,52,15.65,120.37,5,4.6,006 km S 50° W of Camiling (Tarlac),Mw,TECTONIC
61252254,2020-10-03 12:29:41+00:00,2020,10,03,12,29,41,5.15,127.21,41,4.6,192 km S 64° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61255569,2021-08-03 12:58:44+00:00,2021,08,03,12,58,44,15.08,119.75,14,4.6,034 km N 87° W of San Felipe (Zambales),Mw,TECTONIC
61270053,2022-02-03 04:47:11+00:00,2022,02,03,04,47,11,20,121.57,55,4.6,065 km N 34° W of Babuyan Island (Calayan) (Cagayan),Ms,TECTONIC
61287566,2023-05-03 01:23:04+00:00,2023,05,03,01,23,04,3.43,125.83,71,4.6,224 km S 12° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
61205339,2015-01-03 04:50:00+00:00,2015,01,03,04,50,00,12.32,123.77,14,4.5,020 km S 81° E of Masbate (Masbate),Ms,TECTONIC
61212261,2016-02-03 21:01:09+00:00,2016,02,03,21,01,09,19.32,121.2,8,4.5,027 km N 82° W of Calayan (Cagayan),Ms,TECTONIC
61223375,2018-06-03 06:26:41+00:00,2018,06,03,06,26,41,5.29,126.21,1,4.5,083 km S 79° E of Sarangani (Davao Occidental),Ms,TECTONIC
61255557,2021-08-03 16:20:06+00:00,2021,08,03,16,20,06,13.54,120.87,2,4.5,013 km S 03° W of Tingloy (Batangas),Mw,TECTONIC
61277295,2022-11-03 12:49:31+00:00,2022,11,03,12,49,31,7.43,126.84,10,4.5,033 km N 70° E of Caraga (Davao Oriental),Ms,TECTONIC
61282031,2023-02-03 17:23:51+00:00,2023,02,03,17,23,51,3.29,126.61,101,4.5,269 km S 29° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
61285185,2023-06-03 08:39:51+00:00,2023,06,03,08,39,51,6.38,124.67,9,4.5,005 km S 17° W of Santo Niño (South Cotabato),Ms,TECTONIC
61247817,2020-06-04 08:49:33+00:00,2020,06,04,08,49,33,2.92,128.83,123,6.6,514 km S 36° E of Governor Generoso (Davao Oriental),Mw,TECTONIC
61280978,2023-04-04 12:54:30+00:00,2023,04,04,12,54,30,13.9,125.77,72,6.2,150 km N 85° E of Gigmoto (Catanduanes),Mw,TECTONIC
61256297,2021-12-04 23:47:54+00:00,2021,12,04,23,47,54,4.06,128.15,173,6.1,336 km S 62° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),Mw,TECTONIC
61214657,2016-09-04 02:38:11+00:00,2016,09,04,02,38,11,8.33,125.87,6,6,016km S 35° E of Talacogon (Agusan del Sur),Ms,TECTONIC
61224963,2018-11-04 07:55:00+00:00,2018,11,04,07,55,00,7.81,124.06,619,6,003 km N 73° W of Pualas (Lanao Del Sur),Mw,TECTONIC
61276107,2022-05-04 21:41:04+00:00,2022,05,04,21,41,04,6.2,127.34,96,5.7,136 km S 46° E of Tarragona (Davao Oriental),Mw,TECTONIC
61252188,2020-10-04 18:16:53+00:00,2020,10,04,18,16,53,13.66,120.55,120,5.6,033 km S 78° E of Looc (Occidental Mindoro),Mw,TECTONIC
61257125,2021-02-04 08:14:06+00:00,2021,02,04,08,14,06,21.11,121.77,7,5.6,036 km N 12° W of Itbayat (Batanes),Mw,TECTONIC
61215608,2017-04-04 12:58:45+00:00,2017,04,04,12,58,45,13.68,120.93,7,5.5,007 km N 70° E of Tingloy (Batangas),Ms,TECTONIC
